,N100 C1,P200 C1,N100 C2,P200 C2,N100 P1,P200 P1,N100 P2,P200 P2,N100 C1vs2,P200 C1vs2,N100 P1vs2,P200 P1vs2,N100 Supression CvsP,P100 Increase CvsP
Fz,4.325713867935243,4.871715820302894,5.733370397178939,4.445873993189876,3.2415173245243185,3.8609157591834258,4.124785301069838,3.1405499545841167,-1.4076565292436962,0.4258418271130182,-0.8832679765455191,0.7203658045993091,0.5243885526981771,-0.2945239774862909
FCz,4.425648148205639,5.8666650694047275,6.247958397066377,5.149454287295456,3.227340983705511,4.642623351462329,4.578950740792262,3.7097483360427765,-1.8223102488607381,0.7172107821092712,-1.351609757086751,0.9328750154195524,0.4707004917739872,-0.21566423331028117
Cz,3.607223028208082,6.176566398963397,5.861616291311682,5.072123417562427,2.5445910294095753,4.747604625555325,4.299163627912855,3.7445546580066527,-2.2543932631036,1.10444298140097,-1.7545725985032798,1.0030499675486722,0.49982066460032026,0.10139301385229782
FC3,3.299734825645616,5.2855933822494015,5.379763903759829,4.296342692640819,2.8285200026072665,4.023537095955006,3.917501730584998,3.1132802751765385,-2.0800290781142134,0.9892506896085829,-1.0889817279777314,0.9102568207784674,0.991047350136482,0.0789938688301155
FC4,4.0503139444992176,4.4938361020408895,5.305657010575334,4.441513443074023,2.7819517088441423,3.369419850006978,3.839792024910341,3.1721734451454227,-1.255343066076116,0.052322658966866165,-1.0578403160661987,0.1972464048615552,0.19750275000991735,-0.14492374589468904
C3,2.422903832737001,5.641527545814534,5.0042544251469065,4.337281255444835,2.039269445026846,4.249440452458292,3.777911048103205,3.1234383539511796,-2.5813505924099056,1.304246290369699,-1.738641603076359,1.1260020985071124,0.8427089893335467,0.17824419186258655
C4,3.29903982592219,4.408394925730339,4.90848162221498,4.099488256533926,2.421055766548785,3.1864502481892187,3.574303353621592,3.180405079502905,-1.6094417962927903,0.3089066691964133,-1.1532475870728072,0.006045168686313662,0.4561942092199831,0.30286150051009963
CP3,1.996758817090711,4.430946126139187,4.232879232604242,3.42333426897415,1.4454594725876837,3.411419800069008,3.1733027456205094,2.838672361766508,-2.2361204155135312,1.0076118571650365,-1.7278432730328257,0.5727474383024997,0.5082771424807055,0.4348644188625368
CP4,2.589220435076771,3.674524331007712,3.9472562118515664,3.387358952094547,1.7971144420550964,2.7352821232979583,2.950965422714956,2.609024569711784,-1.3580357767747953,0.28716537891316474,-1.1538509806598596,0.12625755358617408,0.20418479611493567,0.16090782532699066
